index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],decision
Intercept,-0.8605112572068702,0.05247769169534672,-16.39765830788577,1.9875278326747286e-60,-0.9633656429215465,-0.7576568714921939,Reject H0
mean,0.0009725987851455524,0.053885862253532965,0.018049238603058355,0.985599573071832,-0.10464175050766542,0.10658694807795652,Fail to reject H0
std,-0.13082328450015399,0.1752124138071244,-0.7466553405523285,0.4552716339810119,-0.47423330520644635,0.21258673620613835,Fail to reject H0
min,-0.036333865205758514,0.0643911810146512,-0.5642677247601859,0.5725719431483882,-0.16253826091647416,0.08987053050495714,Fail to reject H0
max,0.031052342766741875,0.06458829615500593,0.4807735242344701,0.630677469130796,-0.09553839151987659,0.15764307705336034,Fail to reject H0
bp_delta,-9.440380292497236,98.73002419373584,-0.09561813004291964,0.9238238654854507,-202.94767190498766,184.0669113199932,Fail to reject H0
bp_theta,53.047155442513706,72489.30734282649,0.0007317928310672875,0.999416113850499,-142023.3845007523,142129.4788116373,Fail to reject H0
bp_alpha,-3.085335380461608,82712021.93090649,-3.730213950082062e-08,0.9999999702371988,-162112587.1583992,162112580.98772845,Fail to reject H0
bp_beta,-0.35983236584071615,671692239.4056185,-5.357101730982218e-10,0.9999999995725651,-1316492598.2899003,1316492597.5702357,Fail to reject H0
interestingness,0.010715760098711887,0.007342322295015138,1.4594510657734336,0.14444099967881252,-0.003674927162403257,0.025106447359827033,Fail to reject H0
